"category","partName"
"Belysning","Bagagerumslampa"
"Belysning","Bakljusgrupp"
"Belysning","Blinkers"
"Belysning","Dimstrålkastare"
"Belysning","Glödlampa för blinkers fram"
"Belysning","Innerbelysning bak"
"Belysning","Innerbelysning fram"
"Belysning","Kartläsarlampa"
"Belysning","Lampa framdörr"
"Belysning","Motor för strålkastarspolare"
"Belysning","Strålkastare"
"Belysning","Strålkastarglas"
"Belysning","Strålkastarinställning"
"Belysning","Xenonlampa"
"Belysning","Xenonstrålkastare"
"Bränslesystem","Bränslefilter"
"Bränslesystem","Bränslefilter (serie)"
"Bränslesystem","Bränslefördelningsrör"
"Bränslesystem","Bränslepump"
"Bränslesystem","Bränsletank"
"Bränslesystem","Högtryckspump"
"Bränslesystem","Insprutare"
"Kaross/interiör","Bakre bilbälte mittre"
"Kaross/interiör","Bakre bilbälte yttre"
"Kaross/interiör","Bakre sidoruta"
"Kaross/interiör","Bakruta"
"Kaross/interiör","Bilbälteslås fram"
"Kaross/interiör","Bilbälteslås mittre bak"
"Kaross/interiör","Bilbälteslås yttre bak"
"Kaross/interiör","Dörrspegel"
"Kaross/interiör","Dörruta-Bakdörr"
"Kaross/interiör","Dörruta-Framdörr"
"Kaross/interiör","Främre bilbälte"
"Kaross/interiör","Fönsterhissmekanism bakdörr"
"Kaross/interiör","Fönsterhissmekanism framdörr"
"Kaross/interiör","Fönsterhissmotor bak"
"Kaross/interiör","Instrumentpanel"
"Kaross/interiör","Krockkudde förare"
"Kaross/interiör","Krockkudde passagerare"
"Kaross/interiör","Låscylinder handskfack"
"Kaross/interiör","Låscylinder-Baklucka"
"Kaross/interiör","Låscylinder-Framdörr"
"Kaross/interiör","Motor för sollucka"
"Kaross/interiör","Motorhuvens frigöringsvajer"
"Kaross/interiör","Spegelglas och fäste"
"Kaross/interiör","Spoiler"
"Kaross/interiör","Spolarbehållare"
"Kaross/interiör","Spolarmotor (främre)"
"Kaross/interiör","Spolarmunstycke"
"Kaross/interiör","Stötfångare bak"
"Kaross/interiör","Stötfångare fram"
"Kaross/interiör","Stötfångargrill"
"Kaross/interiör","Torkararm"
"Kaross/interiör","Torkararm-Bakrutetorkare"
"Kaross/interiör","Torkararm-Vindrutetorkare"
"Kaross/interiör","Torkarblad"
"Kaross/interiör","Torkarblad-Bakrutetorkare"
"Kaross/interiör","Torkarblad-Vindrutetorkare"
"Kaross/interiör","Torkarlänkage"
"Kaross/interiör","Torpedplåt"
"Kaross/interiör","Uppblåsbar gardin"
"Kaross/interiör","Vindrute"
"Kaross/interiör","Vindrutetorkarmotor"
